username,repo_name,stars,repo_url
amphp,amp,3200,https://github.com/amphp/amp
danog,MadelineProto,1500,https://github.com/danog/MadelineProto
amphp,http-server,1100,https://github.com/amphp/http-server
unreal4u,telegram-api,653,https://github.com/unreal4u/telegram-api
amphp,http-client,557,https://github.com/amphp/http-client
amphp,parallel,487,https://github.com/amphp/parallel
php-service-bus,service-bus,294,https://github.com/php-service-bus/service-bus
amphp,mysql,237,https://github.com/amphp/mysql
amphp,byte-stream,216,https://github.com/amphp/byte-stream
amphp,parallel-functions,174,https://github.com/amphp/parallel-functions
amphp,socket,126,https://github.com/amphp/socket
amphp,process,123,https://github.com/amphp/process
amphp,redis,109,https://github.com/amphp/redis
kelunik,acme,103,https://github.com/kelunik/acme
PeeHaa,mailgrab,90,https://github.com/PeeHaa/mailgrab
amphp,dns,86,https://github.com/amphp/dns
amphp,websocket-client,85,https://github.com/amphp/websocket-client
amphp,sync,69,https://github.com/amphp/sync
jolicode,asynit,66,https://github.com/jolicode/asynit
amphp,websocket-server,62,https://github.com/amphp/websocket-server
amphp,postgres,56,https://github.com/amphp/postgres
amphp,beanstalk,52,https://github.com/amphp/beanstalk
amphp,file,51,https://github.com/amphp/file
amphp,cache,49,https://github.com/amphp/cache
amphp,windows-registry,45,https://github.com/amphp/windows-registry
amphp,hpack,42,https://github.com/amphp/hpack
phpinnacle,ridge,41,https://github.com/phpinnacle/ridge
Room-11,Jeeves,41,https://github.com/Room-11/Jeeves
amphp,aerys,39,https://github.com/amphp/aerys
amphp,cluster,37,https://github.com/amphp/cluster
